"Story","Title","Result","Date","Stability","Duration (s)"
"Product CURD test","This will create a new product","SUCCESS","2022-06-07T20:57:42.741+01:00[Europe/London]","0.0","7.09"
"Product CURD test","Verify if the product was added to the application","SUCCESS","2022-06-07T20:57:49.870+01:00[Europe/London]","0.0","1.74"
"Service CURD test","Test0001","SUCCESS","2022-06-07T20:57:50.672+01:00[Europe/London]","0.0","0.79"
"Service CURD test","Test0002","SUCCESS","2022-06-07T20:57:51.461+01:00[Europe/London]","0.0","0.64"
"Product CURD test","Verify product was updated","SUCCESS","2022-06-07T20:57:51.610+01:00[Europe/London]","0.0","0.54"
"Service CURD test","Test0003","SUCCESS","2022-06-07T20:57:52.103+01:00[Europe/London]","0.0","0.14"
"Product CURD test","verify product was deleted","SUCCESS","2022-06-07T20:57:52.151+01:00[Europe/London]","0.0","0.09"
"Service CURD test","Test04","SUCCESS","2022-06-07T20:57:52.241+01:00[Europe/London]","0.0","0.15"
"Stores CURD test"," This will create new store ","SUCCESS","2022-06-07T20:57:52.516+01:00[Europe/London]","0.0","0.1"
"Stores CURD test","Verify if the store was added to the application","SUCCESS","2022-06-07T20:57:52.615+01:00[Europe/London]","0.0","0.15"
"Stores CURD test","Verify store was updated","SUCCESS","2022-06-07T20:57:52.762+01:00[Europe/London]","0.0","0.18"
"Stores CURD test","Delete the store and verify if the store is deleted","SUCCESS","2022-06-07T20:57:52.941+01:00[Europe/London]","0.0","0.07"
